Weekday of Date,Count Type,Direction,Day of Week Avg
Sunday,Pedestrians only,Southbound,144.723936614
Monday,Pedestrians only,Southbound,70.004357911
Tuesday,Pedestrians only,Southbound,73.635150167
Wednesday,Pedestrians only,Southbound,66.266106345
Thursday,Pedestrians only,Southbound,67.115280384
Friday,Pedestrians only,Southbound,63.826068778
Saturday,Pedestrians only,Southbound,132.427707914
Sunday,Pedestrians only,Northbound,92.946851654
Monday,Pedestrians only,Northbound,68.477933262
Tuesday,Pedestrians only,Northbound,66.381156317
Wednesday,Pedestrians only,Northbound,65.269859396
Thursday,Pedestrians only,Northbound,58.225460780
Friday,Pedestrians only,Northbound,56.596580159
Saturday,Pedestrians only,Northbound,98.207288081
Sunday,Bicycles only,Southbound,174.552572342
Monday,Bicycles only,Southbound,80.778441139
Tuesday,Bicycles only,Southbound,81.459676629
Wednesday,Bicycles only,Southbound,78.408474962
Thursday,Bicycles only,Southbound,72.326631370
Friday,Bicycles only,Southbound,68.137616175
Saturday,Bicycles only,Southbound,163.854007014
Sunday,Bicycles only,Northbound,262.867060320
Monday,Bicycles only,Northbound,110.980407679
Tuesday,Bicycles only,Northbound,113.972760231
Wednesday,Bicycles only,Northbound,106.259422927
Thursday,Bicycles only,Northbound,103.561633157
Friday,Bicycles only,Northbound,100.638648887
Saturday,Bicycles only,Northbound,233.598857032
